"sp00n","n4m3","t41l","w31ght","c0l0r","ag3","l3ngth","g3nd3r","g00d"
11,"Daniel",11,2,"red",1,41,"male",0
7,"Kelly",9,3,"brown",4,49,"female",1
8,"Marianne",8,5,"red",2,42,"female",1
13,"Edward",11,2,"black",3,45,"male",0
10,"Karen",10,2,"red",6,43,"female",0
10,"Bradley",11,2,"black",1,50,"male",0
11,"Cecilia",11,2,"red",0,48,"female",0
12,"Eric",10,2,"red",3,45,"male",0
11,"Tina",11,2,"brown",2,44,"female",0
11,"Daniel",10,3,"purple",0,53,"male",1
14,"Marvin",11,2,"red",1,49,"male",0
9,"Robert",9,3,"red",2,43,"male",1
14,"Eric",10,2,"black",5,51,"male",0
10,"Brian",11,2,"red",4,46,"male",0
12,"Nicole",10,2,"red",0,42,"female",0
14,"Deborah",11,2,"brown",3,48,"female",0
7,"John",10,5,"grey",1,49,"male",1
10,"Linda",9,4,"brown",5,44,"female",1
14,"Lucrecia",10,2,"brown",6,44,"female",0
10,"Donna",11,5,"brown",6,49,"female",1
12,"Molly",10,2,"black",3,46,"female",0
11,"David",9,3,"red",6,44,"male",1
14,"Tessa",11,2,"red",4,50,"female",0
9,"Anne",9,4,"white",6,46,"female",1
10,"Sandra",10,5,"grey",2,44,"female",1
12,"Jonathan",11,2,"red",3,52,"male",0
8,"Ambrose",8,5,"brown",6,43,"male",1
11,"Michael",10,2,"brown",6,54,"male",0
13,"Kenneth",11,2,"red",2,46,"male",0
7,"Clarence",9,3,"white",4,45,"male",1
9,"Felix",9,5,"brown",4,52,"male",1
8,"Brian",11,5,"white",3,51,"male",1
9,"Jeremy",8,3,"grey",6,40,"male",1
11,"Portia",10,5,"green",0,53,"female",1
7,"James",9,5,"white",5,49,"male",1
10,"Delores",9,5,"brown",7,50,"female",1
14,"William",10,2,"black",4,50,"male",0
10,"Manuel",10,2,"black",0,40,"male",0
11,"Frank",11,2,"brown",1,40,"male",0
13,"Randall",11,2,"brown",7,42,"male",0
7,"Darrell",8,4,"blue",0,43,"male",1
14,"Hazel",10,2,"black",2,54,"female",0
9,"Daniel",10,5,"white",7,51,"male",1
10,"Emily",10,2,"red",5,40,"female",0
11,"Brandy",10,2,"red",7,40,"female",0
10,"Jane",9,5,"grey",7,45,"female",1
8,"Alice",10,4,"red",4,49,"female",1
9,"Ethel",10,5,"brown",2,46,"female",1
7,"George",9,4,"red",0,54,"male",1
12,"John",10,2,"red",1,47,"male",0
11,"Andrea",11,3,"grey",5,54,"female",1
7,"Ashley",8,3,"white",6,50,"female",1
7,"Irene",8,5,"white",6,53,"female",1
12,"Nicole",10,2,"black",4,50,"female",0
9,"Benjamin",8,5,"brown",6,53,"male",1
12,"Tonya",11,2,"brown",0,43,"female",0
11,"Ruby",11,2,"red",1,43,"female",0
14,"Robert",11,2,"black",2,41,"male",0
9,"Glen",11,3,"grey",4,45,"male",1
14,"Megan",10,2,"brown",1,50,"female",0
10,"Brenda",11,4,"white",0,47,"female",1
9,"Kevin",8,3,"purple",6,50,"male",1
11,"Vilma",11,2,"black",0,46,"female",0
10,"Morris",11,2,"red",2,51,"male",0
11,"Amanda",10,2,"brown",2,52,"female",0
10,"Billy",10,4,"blue",6,47,"male",1
11,"Marilyn",11,2,"brown",3,54,"female",0
9,"Lisa",8,5,"brown",3,46,"female",1
10,"Roger",11,5,"red",5,49,"male",1
14,"Diane",11,2,"brown",3,40,"female",0
7,"Tommy",9,3,"grey",7,46,"male",1
11,"Rita",10,5,"brown",0,48,"female",1
8,"Robert",8,3,"grey",3,51,"male",1
14,"Ronnie",10,2,"brown",1,42,"male",0
13,"Michael",10,2,"red",3,51,"male",0
12,"Herman",10,2,"brown",1,46,"male",0
7,"Sherrie",8,3,"white",6,49,"female",1
11,"John",10,2,"black",2,44,"male",0
9,"Daniel",8,3,"grey",3,46,"male",1
10,"Ann",10,3,"green",1,43,"female",1
9,"Lisa",8,4,"purple",1,43,"female",1
13,"Richard",10,2,"black",1,48,"male",0
8,"Doyle",9,4,"red",1,51,"male",1
10,"Robert",10,2,"brown",0,46,"male",0
11,"David",11,2,"brown",2,46,"male",0
7,"Joanne",9,3,"brown",0,41,"female",1
9,"Hazel",8,4,"purple",7,53,"female",1
10,"Marie",11,2,"black",2,44,"female",0
11,"Crystal",11,2,"red",0,45,"female",0
7,"Jeffrey",11,4,"white",2,43,"male",1
8,"Irene",8,5,"white",1,43,"female",1
10,"Donald",10,3,"blue",5,40,"male",1
10,"Leo",9,5,"white",0,50,"male",1
10,"Henry",10,2,"brown",7,40,"male",0
7,"Pat",11,4,"white",4,47,"female",1
7,"Jenette",9,3,"grey",6,54,"female",1
14,"William",11,2,"brown",3,54,"male",0
13,"Timmy",11,2,"black",2,46,"male",0
11,"Emily",9,5,"brown",0,40,"female",1
10,"Rosa",11,2,"black",0,43,"female",0
10,"Jill",10,3,"brown",5,53,"female",1
10,"Curtis",10,2,"red",1,49,"male",0
11,"John",9,3,"grey",0,48,"male",1
11,"Harold",8,4,"green",3,42,"male",1
8,"Diane",8,4,"red",1,47,"female",1
8,"William",11,5,"brown",5,43,"male",1
7,"Ivan",10,3,"grey",6,47,"male",1
7,"Jessica",9,5,"green",6,52,"female",1
10,"Heather",9,5,"purple",2,51,"female",1
9,"Thomas",8,4,"purple",7,54,"male",1
12,"Colleen",11,2,"brown",1,42,"female",0
8,"Ramon",9,4,"blue",0,50,"male",1
10,"Casey",11,2,"red",5,51,"male",0
14,"Kathryn",11,2,"red",3,50,"female",0
11,"Sherry",11,3,"green",1,46,"female",1
11,"Russ",10,4,"white",3,44,"male",1
9,"Joshua",11,5,"grey",7,43,"male",1
13,"John",11,2,"black",1,45,"male",0
10,"Jean",10,2,"red",5,44,"female",0
14,"Kristi",10,2,"brown",2,46,"female",0
14,"Derrick",10,2,"black",1,53,"male",0
12,"Donnell",11,2,"black",4,50,"male",0
9,"Patricia",8,5,"purple",3,54,"female",1
13,"Mary",10,2,"red",1,48,"female",0
7,"Randal",8,4,"brown",5,44,"male",1
10,"Haley",11,2,"red",0,41,"female",0
12,"Matthew",11,2,"red",0,45,"male",0
11,"Christine",10,2,"red",7,45,"female",0
10,"Audrey",10,2,"brown",0,44,"female",0
8,"Martha",10,3,"brown",2,54,"female",1
11,"Dwayne",11,2,"brown",0,51,"male",0
10,"Kathie",11,3,"blue",2,44,"female",1
11,"Nathan",10,5,"red",3,43,"male",1
12,"John",11,2,"brown",0,40,"male",0
9,"Nathaniel",11,3,"purple",5,40,"male",1
13,"Marion",10,2,"black",0,46,"female",0
7,"Charles",11,5,"brown",5,53,"male",1
11,"Susan",10,4,"brown",3,50,"female",1
11,"Joseph",10,2,"red",0,43,"male",0
11,"Glenda",10,2,"black",4,49,"female",0
11,"Jerry",11,4,"purple",0,41,"male",1
13,"Don",11,2,"brown",3,47,"male",0
7,"Carlos",11,3,"blue",2,43,"male",1
10,"Benjamin",10,5,"red",5,40,"male",1
9,"Linda",11,4,"red",5,50,"female",1
11,"Opal",8,3,"purple",7,52,"female",1
10,"James",11,2,"black",5,52,"male",0
11,"Peter",11,5,"white",6,52,"male",1
13,"Kenneth",10,2,"red",6,44,"male",0
11,"Juan",10,2,"brown",2,46,"male",0
7,"Robert",9,3,"red",6,49,"male",1
10,"Dana",10,2,"red",2,52,"female",0
10,"Joanne",11,2,"red",7,53,"female",0
12,"Sarah",11,2,"black",7,48,"female",0
12,"Kelley",11,2,"black",0,44,"female",0
14,"Ginger",11,2,"black",5,53,"female",0
10,"John",10,3,"grey",1,54,"male",1
12,"Adam",10,2,"black",5,50,"male",0
8,"Cathy",11,3,"grey",6,45,"female",1
11,"Lillian",9,3,"purple",7,45,"female",1
14,"Grady",11,2,"brown",6,53,"male",0
10,"Beatriz",10,2,"black",0,53,"female",0
8,"Alan",10,3,"red",1,49,"male",1
10,"Carol",10,2,"brown",6,49,"male",0
8,"Edna",10,3,"purple",1,51,"female",1
11,"Laurel",11,4,"red",7,50,"female",1
8,"Christopher",11,5,"blue",4,46,"male",1
11,"Jeff",11,2,"red",1,45,"male",0
12,"Dolores",11,2,"red",5,40,"female",0
10,"Daniel",11,4,"purple",5,49,"male",1
10,"Tamela",10,3,"red",3,49,"female",1
11,"Haley",10,2,"brown",5,53,"female",0
